Abbreviation,Loss Type,Balanced,Layers to Unfreeze,Encoder Name,Batch Size,Epochs,Learning Rate,Max Length,Subcategory
False,BCE,False,,bert-base-uncased,32,5,2e-05,512,False
False,BCE,False,,NASA-AIML/MIKA_SafeAeroBERT,32,5,2e-05,512,False
False,BCE,False,,allenai/longformer-base-4096,32,5,2e-05,1024,False
False,BCE,False,"[8, 9, 10, 11]",bert-base-uncased,32,5,2e-05,512,False
False,BCE,False,"[8, 9, 10, 11]",NASA-AIML/MIKA_SafeAeroBERT,32,5,2e-05,512,False
False,BCE,False,"[8, 9, 10, 11]",allenai/longformer-base-4096,32,5,2e-05,1024,False
True,BCE,True,"[8, 9, 10, 11]",bert-base-uncased,32,5,2e-05,512,False
True,BCE,True,"[8, 9, 10, 11]",NASA-AIML/MIKA_SafeAeroBERT,32,5,2e-05,512,False
True,BCE,True,"[8, 9, 10, 11]",allenai/longformer-base-4096,32,5,2e-05,1024,False
False,BinaryFocal,False,"[8, 9, 10, 11]",bert-base-uncased,32,5,2e-05,512,False
False,BinaryFocal,False,"[8, 9, 10, 11]",NASA-AIML/MIKA_SafeAeroBERT,32,5,2e-05,512,False
False,BinaryFocal,False,"[8, 9, 10, 11]",allenai/longformer-base-4096,32,5,2e-05,1024,False
False,BinaryFocal,True,"[8, 9, 10, 11]",bert-base-uncased,32,5,2e-05,512,False
False,BinaryFocal,True,"[8, 9, 10, 11]",NASA-AIML/MIKA_SafeAeroBERT,32,5,2e-05,512,False
False,BinaryFocal,True,"[8, 9, 10, 11]",allenai/longformer-base-4096,32,5,2e-05,1024,False
True,BinaryFocal,True,"[8, 9, 10, 11]",bert-base-uncased,32,5,2e-05,512,False
True,BinaryFocal,True,"[8, 9, 10, 11]",NASA-AIML/MIKA_SafeAeroBERT,32,5,2e-05,512,False